Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,18249.7094846628,21853.781667691,68044.714816234,68158.5797427053,62513.4112171122,56710.4457244504,49875.5651433836,53936.1402549903,57207.8715094806,54941.4341793948,51720.3707634401,60443.1091649968
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,21680.989623313,24625.6007227434,48564.9173350875,50731.1272541847,51786.3771747905,44195.8175947748,45307.5878620429,47429.1584564387,51466.5565633634,50070.4033482901,48809.2268762243,53637.7057109897
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,1234.53088916207,655.119945170816,7496.29464768263,7875.75695254288,7891.31314749986,5500.31038244408,3880.73873089556,4147.08971569171,4739.84171028393,4805.75371765917,4229.91064904503,5387.99797495383
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,11696.5113658614,24849.6064784902,28059.6553953426,27389.6019706988,28720.6621934516,30206.2404347372,29887.1648786795,30969.8761966819,31738.2671569969,32610.4850490784,23862.7109929122,27478.3896289831
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,8174.79723172088,12738.7741181575,25102.726348527,25790.7303121382,25464.760097715,22795.4488576612,22867.1811196134,24349.9098701325,25415.8466249472,25869.1129129041,23501.9194628168,26562.9691354026
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,294.904656691568,413.100185264402,876.817545058129,973.773392636423,1108.51509983546,1236.00506049059,1659.96160523559,1815.6094264579,1963.41185467584,2122.07885124799,2233.30552399269,2457.92487986361
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,7772.80875684304,11560.2459031879,16691.3326357636,16893.6062702039,16924.1903399365,16990.2194668498,17343.7254395315,17843.1979282703,18224.8905923744,19002.9623813263,16643.8065787177,17225.4623044097
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,2124.76794393518,1276.2880341,6953.13251493684,7998.12523878099,8341.39967861093,5967.05220384914,5039.68188628499,5785.67067254068,6360.06247301284,6837.71782606351,6542.79749130553,7302.25779418774
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,20600.3752789827,23098.8865077401,44670.5606845101,46757.9518559598,47764.0715120833,41008.296719472,42012.6227191016,44198.4823908691,47544.9811472757,46638.6813054855,45517.7949301847,51247.0143531626
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,3009.49126179562,4642.1470345998,5645.89582239311,5887.93343545467,6068.08860885237,6142.47883269283,6148.70696109313,6100.99468097883,6059.16255306675,6210.56554311929,5266.87616004213,6228.26730928353
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,381.8050394411,502.997964780144,1112.56953520687,1214.29556576586,1251.5047654269,1041.65252315983,1049.82030349923,1095.27445905119,1194.43821427144,1170.96553298099,1237.94929535039,1319.1549945174
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,26841.5197383946,56284.1686478094,98431.8651810241,99471.6388978631,98467.683993982,102005.62564189,106885.878489327,111820.581466347,113050.73688163,116153.166121638,107791.886435134,114090.328338579
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,515.108433827374,722.852571406065,2470.07367669349,2409.44185615811,2589.89975441133,2695.63877250025,2879.54712101999,3240.70476560368,3210.70626919782,3303.96421053812,3009.92417072191,3266.36490519183
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,685.942717677007,977.336055960911,2562.46678423329,2853.79716191598,3022.46288443562,2975.64881137847,3013.5027077617,3280.00821346382,3471.00695064499,3472.38083075685,3068.81255507604,3345.19658873831
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,..,1332.12236478772,4688.37662297884,5025.07459738709,5196.86080042254,4599.90102879933,4858.77592634808,5255.80705791233,5936.10150173874,6011.37067052755,6012.06276705855,7143.3105484321
